anime_id,name,type,episodes,rating,members
77,Mahou Shoujo Lyrical Nanoha A&#039;s,TV,13,8.1,41685
79,Shuffle!,TV,24,7.31,158772
80,Mobile Suit Gundam,TV,43,7.89,51566
81,Mobile Suit Gundam: The 08th MS Team,OVA,12,8.13,34177
82,Mobile Suit Gundam 0080: War in the Pocket,OVA,6,7.85,22609
83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,Movie,1,6.95,8078
84,Mobile Suit Gundam 0083: Stardust Memory,OVA,13,7.47,20238
85,Mobile Suit Zeta Gundam,TV,50,8.03,28959
86,Mobile Suit Gundam ZZ,TV,47,6.81,17517
87,Mobile Suit Gundam: Char&#039;s Counterattack,Movie,1,7.81,19258
88,Mobile Suit Gundam F91,Movie,1,6.9,13456
89,Mobile Suit Victory Gundam,TV,51,6.98,12673
90,Mobile Suit Gundam Wing,TV,49,7.87,86001
91,Mobile Suit Gundam Wing: Endless Waltz,OVA,3,7.87,28485
92,After War Gundam X,TV,39,7.39,19132
93,Mobile Suit Gundam Seed,TV,50,7.93,96973
94,Mobile Suit Gundam Seed Destiny,TV,50,7.36,65896
95,Turn A Gundam,TV,50,7.76,20056
96,Mobile Fighter G Gundam,TV,49,7.62,36338
97,Last Exile,TV,26,7.94,104193
98,Mai-HiME,TV,26,7.59,76492
99,Mai-Otome,TV,26,7.4,36924
100,Shin Shirayuki-hime Densetsu Prétear,TV,13,7.33,37394
101,Air,TV,13,7.48,188861
102,Aishiteruze Baby★★,TV,26,7.58,63959
103,Akazukin Chacha,TV,74,7.48,7581
104,Ayashi no Ceres,TV,24,7.38,38336
105,Boys Be...,TV,13,6.59,15026
106,Hana yori Dango,TV,51,7.9,28341
107,Ou Dorobou Jing,TV,13,7.34,21920
108,Ou Dorobou Jing in Seventh Heaven,OVA,3,7.43,8561
109,Bakuretsu Tenshi,TV,24,6.94,48551
110,Chuuka Ichiban!,TV,52,7.69,8586
111,Corrector Yui,TV,52,6.9,7411
112,Chou Henshin Cosprayers,TV,8,5.11,5555
113,Uchuu no Stellvia,TV,26,7.49,15471
114,Sakigake!! Cromartie Koukou,TV,26,8.02,67254
115,El Hazard: The Alternative World,TV,13,6.94,7131
116,El Hazard: The Wanderers,TV,26,7.1,9289
117,El Hazard: The Magnificent World,OVA,7,7.44,10130
118,El Hazard 2: The Magnificent World,OVA,4,6.99,5771
119,Final Approach,TV,13,6.69,24902
120,Fruits Basket,TV,26,7.8,242553
121,Fullmetal Alchemist,TV,51,8.33,600384
122,Full Moon wo Sagashite,TV,52,8.08,59374
123,Fushigi Yuugi,TV,52,7.77,61622
124,Fushigi Yuugi: Eikouden,OVA,4,7.0,11740
125,Futakoi,TV,13,6.64,23968
126,Futakoi Alternative,TV,13,7.02,21516
127,Gate Keepers,TV,24,7.07,14582
128,Gate Keepers 21,OVA,6,6.9,7363
129,Gensoumaden Saiyuuki,TV,50,7.71,31179
130,Saiyuuki Reload,TV,25,7.54,16298
131,Saiyuuki Reload Gunlock,TV,26,7.56,11233
132,GetBackers,TV,49,7.73,73536
133,Green Green,TV,12,6.44,80562
134,Gunslinger Girl,TV,13,7.55,106865
135,Hikaru no Go,TV,75,8.19,69000
136,Hunter x Hunter,TV,62,8.48,166255
137,Hunter x Hunter OVA,OVA,8,8.41,53168
138,Hunter x Hunter: Greed Island,OVA,8,8.33,57029
139,Hunter x Hunter: Greed Island Final,OVA,14,8.41,55787
141,Jinki:Extend,TV,12,6.29,7496
142,Kamikaze Kaitou Jeanne,TV,44,7.52,31081
143,Kannazuki no Miko,TV,12,7.05,42927
144,Kanon,TV,13,7.27,41960
145,Kareshi Kanojo no Jijou,TV,26,7.66,94165
146,Kono Minikuku mo Utsukushii Sekai,TV,12,6.92,41756
147,Kimi ga Nozomu Eien,TV,14,7.41,90379
148,Kita e.: Diamond Dust Drops,TV,12,6.77,5736
149,Loveless,TV,12,7.19,85554
150,Blood+,TV,50,7.8,208321
151,Re: Cutie Honey,OVA,3,7.16,10378
152,Solty Rei,TV,24,7.38,17943
153,Juuni Kokuki,TV,45,8.16,66646
154,Shaman King,TV,64,7.83,169517
155,X/1999,Movie,1,6.68,23038
156,X,TV,24,7.56,51004
157,Mahou Sensei Negima!,TV,26,7.11,76253
158,Maria-sama ga Miteru,TV,13,7.48,33989
159,Boukyaku no Senritsu,TV,24,6.44,12169
161,Peace Maker Kurogane,TV,24,7.43,35123
162,Pita Ten,TV,26,7.08,16047
163,Power Stone,TV,26,6.57,4308
164,Mononoke Hime,Movie,1,8.81,339556
165,RahXephon,TV,26,7.55,66751
166,Samurai 7,TV,26,7.6,74991
167,Scrapped Princess,TV,24,7.52,54575
168,s.CRY.ed,TV,26,7.45,52784
169,Shingetsutan Tsukihime,TV,12,7.1,90713
170,Slam Dunk,TV,101,8.56,82570
171,Strange Dawn,TV,13,6.59,1865
173,Tactics,TV,25,7.34,27358
174,Tenjou Tenge,TV,24,7.1,103449
175,Tokyo Underground,TV,26,6.74,17920
176,Triangle Heart: Sweet Songs Forever,OVA,4,6.32,4543
177,Tsubasa Chronicle,TV,26,7.67,134705
178,Ultra Maniac,TV,26,7.3,20062
179,Ultra Maniac OVA,OVA,1,6.82,3979
180,Vandread,TV,13,7.33,53360
181,Vandread: The Second Stage,TV,13,7.54,36264
182,Tenkuu no Escaflowne,TV,26,7.8,83437
183,Whistle!,TV,39,7.53,8040
184,Xenosaga The Animation,TV,12,6.47,13827
185,Initial D First Stage,TV,26,8.23,68128
186,Initial D Second Stage,TV,13,8.12,45825
187,Initial D Third Stage,Movie,1,7.98,39374
188,Gosenzo San&#039;e,OVA,4,6.38,1222
189,Love Hina,TV,24,7.28,156627
190,Love Hina Again,OVA,3,7.36,61154
191,Love Hina Christmas Special: Silent Eve,Special,1,7.44,45137
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Special,1,7.31,40858
193,Maburaho,TV,24,7.01,61004
194,Macross Zero,OVA,5,7.69,23568
195,Onegai☆Teacher,TV,12,7.35,99558
196,Onegai☆Twins,TV,12,7.05,59164
197,Rizelmine,TV,24,6.67,16672
198,Speed Grapher,TV,24,7.46,64627
199,Sen to Chihiro no Kamikakushi,Movie,1,8.93,466254
200,Tenshi na Konamaiki,TV,50,7.6,15077
201,Video Girl Ai,OVA,6,7.31,13970
202,Wolf&#039;s Rain,TV,26,7.93,171863
203,Words Worth,OVA,5,6.9,5080
204,Yumeria,TV,12,6.25,19138
205,Samurai Champloo,TV,26,8.5,390076
206,Lodoss-tou Senki: Eiyuu Kishi Den,TV,27,7.25,16288
207,Lodoss-tou Senki,OVA,13,7.55,28462
208,R.O.D OVA,OVA,3,7.78,41701
209,R.O.D the TV,TV,26,7.64,47053
210,Ranma ½,TV,161,7.87,105212
211,Pure Mail,OVA,2,6.37,1911
212,Project A-Ko,Movie,1,7.02,7846
213,Pia Carrot e Youkoso!!,OVA,3,6.19,2108
214,Pia Carrot e Youkoso!! 2,OVA,3,6.39,1408
215,Pia Carrot e Youkoso!! 2 DX,OVA,6,6.52,1425
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Movie,1,6.11,1804
217,Shin Angel,OVA,5,6.49,1420
218,Kidou Senkan Nadesico,TV,26,7.6,27976
219,Kidou Senkan Nadesico: The Prince of Darkness,Movie,1,6.9,9738
220,Kuro no Danshou,OVA,4,6.05,1388
221,Mezzo Forte,OVA,2,6.75,14651
222,Mezzo DSA,TV,13,6.78,11750
223,Dragon Ball,TV,153,8.16,316102
225,Dragon Ball GT,TV,64,6.72,226625
226,Elfen Lied,TV,13,7.85,623511
227,FLCL,OVA,6,8.06,305165
228,Jigoku Shoujo,TV,26,7.79,172415
229,Ninin ga Shinobuden,TV,12,7.03,23125
230,Air Master,TV,27,7.14,22433
231,Asagiri no Miko,TV,26,6.31,4721
232,Cardcaptor Sakura,TV,70,8.18,181249
233,Daa! Daa! Daa!,TV,78,7.81,12673
234,Dan Doh!!,TV,26,6.82,2351
235,Detective Conan,TV,0,8.25,114702
236,E&#039;s Otherwise,TV,26,6.75,11704
237,Eureka Seven,TV,50,8.19,239570
238,Rekka no Honoo,TV,42,7.44,35258
239,Gankutsuou,TV,24,8.27,103828
240,Genshiken,TV,12,7.76,104258
241,Girls Bravo: First Season,TV,11,6.69,84395
242,Gokusen,TV,13,7.48,22009
243,Gravitation,TV,13,7.26,67916
244,Agatha Christie no Meitantei Poirot to Marple,TV,39,6.95,3933
245,Great Teacher Onizuka,TV,43,8.77,268487
246,Groove Adventure Rave,TV,51,7.45,56353
247,Harukanaru Toki no Naka de: Hachiyou Shou,TV,26,7.18,14550
248,Ichigo 100%,TV,12,6.84,67310
249,InuYasha,TV,167,7.89,281632
250,Konjiki no Gash Bell!!,TV,150,7.66,51403
251,Kyou kara Maou!,TV,78,7.88,58150
252,Madlax,TV,26,7.17,25995
253,Jungle wa Itsumo Hare nochi Guu,TV,26,7.97,22214
254,Jungle wa Itsumo Hare nochi Guu Deluxe,OVA,6,7.95,8847
255,Jungle wa Itsumo Hare nochi Guu Final,OVA,7,7.78,7576
256,Hoshi no Koe,OVA,1,7.53,85492
257,Ikkitousen,TV,13,6.62,88969
258,Hitsuji no Uta,OVA,4,6.43,10574
259,Happy☆Lesson,OVA,5,6.76,8067
260,Happy☆Lesson (TV),TV,13,6.81,17109
261,Happy☆Lesson: Advance,TV,13,6.97,9989
262,Happy☆Lesson: The Final,OVA,3,6.96,6371
263,Hajime no Ippo,TV,75,8.83,157670
264,Hajime no Ippo: Champion Road,Special,1,8.39,47840
265,Hajime no Ippo: Mashiba vs. Kimura,OVA,1,8.28,40623
266,Gunparade March: Arata Naru Kougunka,TV,12,6.96,9902
267,Gungrave,TV,26,7.97,95825
268,Golden Boy,OVA,6,8.05,113040
269,Bleach,TV,366,7.95,624055
270,Hellsing,TV,13,7.64,308995
271,Gad Guard,TV,26,6.82,8315
272,Noir,TV,26,7.41,66036
273,Mahoutsukai ni Taisetsu na Koto,TV,12,6.87,15152
274,Kiddy Grade,TV,24,7.31,30766
275,Love♥Love?,TV,9,6.05,15114
276,Mahoromatic: Automatic Maiden,TV,12,7.29,36656
277,Mahoromatic 2,TV,14,7.3,21393
278,Viewtiful Joe,TV,51,6.92,5420
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,TV,13,7.27,20859
280,Animal Yokochou,TV,51,7.04,1511
281,Akane Maniax,OVA,3,5.83,13988
282,Angel Heart,TV,50,7.38,9550
283,Akage no Anne,TV,50,7.6,9460
284,Area 88 (TV),TV,12,7.17,7563
285,Argento Soma,TV,25,6.94,12809
286,B&#039;T X,TV,25,7.17,5913
287,Grappler Baki (TV),TV,24,7.41,23220
288,Bakuten Shoot Beyblade,TV,51,6.81,49467
289,Comic Party,TV,13,6.68,12988
290,Seikai no Monshou,TV,13,7.83,26379
291,D.C.S.S: Da Capo Second Season,TV,26,7.15,23364
292,Dear Boys,TV,26,6.99,12662
293,Di Gi Charat,TV,16,6.85,12227
294,Divergence Eve,TV,13,6.08,7833
295,Divergence Eve 2: Misaki Chronicles,TV,13,6.43,4790
296,Dragon Drive,TV,38,6.88,14232
297,Grenadier: Hohoemi no Senshi,TV,12,6.83,37919
298,.hack//Tasogare no Udewa Densetsu,TV,12,6.75,47679
299,.hack//Liminality,OVA,4,6.74,24304
300,3x3 Eyes,OVA,4,6.97,15683
301,Cinderella Boy,TV,13,6.38,3246
302,Mirai Shounen Conan,TV,26,8.16,15557
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,TV,48,7.04,15937
304,Aa! Megami-sama! Movie,Movie,1,7.65,29330
305,Abashiri Ikka,OVA,4,5.64,2000
306,Abenobashi Mahou☆Shoutengai,TV,13,7.38,47752
307,Kerokko Demetan,TV,39,6.04,533
308,Zettai Shounen,TV,26,7.06,11165
309,Akahori Gedou Hour Rabuge,TV,13,6.3,3271
311,Ace wo Nerae!,TV,26,7.08,3945
312,Ace wo Nerae!: Final Stage,OVA,12,6.61,714
313,Ace wo Nerae! (1979),Movie,1,6.95,1564
314,Ace wo Nerae! 2,OVA,13,6.81,890
315,Xiao Qian,Movie,1,6.76,1823
316,Nageki no Kenkou Yuuryouji,OVA,3,6.4,2594
317,Final Fantasy VII: Advent Children,Movie,1,7.94,138659
318,Hand Maid May,TV,10,6.85,17895
319,Happy World!,OVA,3,6.11,4348
320,A Kite,OVA,2,6.72,27941
321,Najica Dengeki Sakusen,TV,12,6.08,9605
322,Paradise Kiss,TV,12,7.93,86380
323,Mousou Dairinin,TV,13,7.74,137687
324,Mobile Police Patlabor: On Television,TV,47,7.72,16130
325,Peach Girl,TV,25,7.16,49508
326,Petshop of Horrors,TV,4,7.41,32696
327,Puchi Puri Yuushi,TV,26,7.54,8030
328,Piano,TV,10,6.1,5674
329,Planetes,TV,26,8.38,105044
330,Midori no Hibi,TV,13,7.45,87938
331,Mahoujin Guru Guru,TV,45,7.75,3725
332,Dokidoki Densetsu: Mahoujin Guru Guru,TV,38,7.42,1625
333,Mama wa Shougaku 4 Nensei,TV,51,7.31,1711
334,Marmalade Boy,TV,76,7.64,24745
335,Matantei Loki Ragnarok,TV,26,7.42,25098
336,Ginyuu Mokushiroku Meine Liebe,TV,13,6.54,9540
337,Psychic Academy,TV,24,6.36,7751
338,Rose of Versailles,TV,40,8.4,32188
339,Serial Experiments Lain,TV,13,7.99,215829
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV,26,7.68,13959
341,Spiral: Suiri no Kizuna,TV,25,7.38,36187
342,Starship Operators,TV,13,7.1,9704
343,Tsukuyomi: Moon Phase,TV,25,7.16,44874
344,Futatsu no Spica,TV,20,7.47,5894
345,Eikoku Koi Monogatari Emma,TV,12,7.81,23877
346,W: Wish,TV,13,6.3,10523
347,Wild Arms: Twilight Venom,TV,22,6.75,4750
348,Binzume Yousei,TV,13,6.55,12852
349,Magical Canan,TV,13,6.42,2942
350,Ojamajo Doremi,TV,51,7.19,19222
351,Ojamajo Doremi Sharp,TV,49,7.32,7878
352,Motto! Ojamajo Doremi,TV,50,7.29,8760
353,Ojamajo Doremi Dokkaan!,TV,51,7.52,5971
354,UG☆Ultimate Girls,TV,12,5.73,6025
355,Shakugan no Shana,TV,24,7.74,297058
356,Fate/stay night,TV,24,7.58,374880
357,Bokusatsu Tenshi Dokuro-chan,OVA,4,6.85,117080
358,Iriya no Sora UFO no Natsu,OVA,6,7.12,18254
359,I&#039;ll/CKBC,OVA,2,6.52,3425
360,Himiko-den,TV,12,6.4,3731
361,Memories Off,OVA,3,6.05,4488
362,Memories Off 2nd,OVA,3,6.45,2750
363,Memories Off 3.5,OVA,4,6.45,2321
364,Gallery Fake,TV,37,7.62,6806
365,Fake,OVA,1,6.68,10926
366,AIKa,OVA,7,6.04,17545
367,Akazukin Chacha OVA,OVA,3,7.2,1659
368,Bible Black,OVA,6,6.88,31309
369,Boogiepop wa Warawanai: Boogiepop Phantom,TV,12,7.27,47280
370,Burn Up Excess,TV,13,6.71,6402
371,Cardcaptor Sakura Movie 1,Movie,1,7.74,56327
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,8.28,60637
373,Bannou Bunka Neko-Musume,OVA,6,6.8,6122
374,Bannou Bunka Neko-Musume DASH!,OVA,12,6.54,3473
375,Bannou Bunka Neko-Musume (1998),TV,12,6.69,4038
376,Elfen Lied Special,Special,1,7.34,116129
377,eX-Driver,OVA,6,6.88,5217
378,eX-Driver the Movie,Movie,1,6.85,2791
379,Heppoko Jikken Animation Excel♥Saga,TV,26,7.57,68198
380,Fushigi Yuugi OVA,OVA,3,7.26,14863
381,Fushigi Yuugi OVA 2,OVA,6,7.37,13508
382,Futari Ecchi,OVA,4,6.55,19907
383,Galaxy Angel,TV,24,7.14,17601
384,Gantz,TV,13,7.27,165335
385,Gilgamesh,TV,26,6.8,25332
386,H2,TV,41,7.39,4450
387,Haibane Renmei,TV,13,8.07,120731
388,Capeta,TV,52,7.91,9711
389,Karas,OVA,6,7.54,44108
390,Suzuka,TV,26,7.35,64161
391,Tales of Phantasia The Animation,OVA,4,6.96,16455
392,Yuu☆Yuu☆Hakusho,TV,112,8.47,195017
393,Escaflowne,Movie,1,7.19,37379
394,Ai Yori Aoshi: Enishi,TV,12,7.25,37944
395,Gantz 2nd Stage,TV,13,7.29,87240
396,Seikai no Senki,TV,13,7.86,18580
397,Seikai no Senki II,TV,10,7.97,13888
398,Seikai no Senki III,OVA,2,7.84,11044
399,Seikai no Senki Special,Special,1,7.5,2216
400,Seihou Bukyou Outlaw Star,TV,24,7.98,78600
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,2,8.1,49454
402,Otogi Juushi Akazukin OVA,OVA,1,6.7,1030
403,Hanaukyou Maid-tai,TV,12,6.72,19053
404,Bastard!!: Ankoku no Hakaishin,OVA,6,6.92,20619
405,Blood: The Last Vampire,Movie,1,7.01,67778
406,Buzzer Beater,TV,13,6.73,8439
407,Tantei Gakuen Q,TV,45,7.87,16591
408,Final Fantasy VII: Last Order,OVA,1,7.46,48041
411,Gun x Sword,TV,26,7.38,45921
412,Kore ga Watashi no Goshujinsama,TV,12,6.69,57646
413,Hametsu no Mars,OVA,1,2.37,27557
415,Tonari no Yamada-kun,Movie,1,7.36,16442
416,Kurenai no Buta,Movie,1,8.03,74028
417,Ragnarök the Animation,TV,26,6.57,32711
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Movie,1,7.39,13073
419,Samurai Deeper Kyou,TV,26,7.02,38580
420,Spriggan,Movie,1,6.81,13256
421,Stratos 4,TV,13,6.75,6909
422,Stratos 4 OVA,OVA,2,6.86,2133
423,Stratos 4 Advance,OVA,6,6.95,2448
424,Dirty Pair,TV,24,7.22,9131
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,OVA,2,6.62,4085
426,Final Fantasy,OVA,4,6.25,10325
427,Kaleido Star,TV,51,8.05,42253
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,OVA,1,7.68,9248
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA,1,8.0,9268
430,Fullmetal Alchemist: The Conqueror of Shamballa,Movie,1,7.74,186465
431,Howl no Ugoku Shiro,Movie,1,8.74,333186
432,Iria: Zeiram The Animation,OVA,6,7.21,10208
433,Kumo no Mukou Yakusoku no Basho,Movie,1,7.89,103975
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,OVA,1,5.66,3367
435,Magic Knight Rayearth,TV,20,7.53,34141
437,Perfect Blue,Movie,1,8.23,117565
438,Phantom The Animation,OVA,3,6.66,9285
439,RG Veda,OVA,2,6.28,5070
440,Shoujo Kakumei Utena,TV,39,8.22,77464
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,Movie,1,7.59,22219
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Movie,1,7.17,120571
443,Onegai☆Teacher: Himitsu na Futari,OVA,1,7.42,32134
444,Maria-sama ga Miteru: Haru,TV,13,7.85,14983
445,Tales of Eternia The Animation,TV,13,6.32,11582
446,Weiß Kreuz Glühen,TV,13,6.72,7043
447,Weiß Kreuz,TV,25,6.84,13039
448,Tenjou Tenge: The Ultimate Fight,OVA,2,7.18,29039
449,InuYasha: Guren no Houraijima,Movie,1,7.62,50008
450,InuYasha: Kagami no Naka no Mugenjo,Movie,1,7.75,54854
451,InuYasha: Tenka Hadou no Ken,Movie,1,7.89,51079
452,InuYasha: Toki wo Koeru Omoi,Movie,1,7.69,51354
454,.hack//Gift,OVA,1,6.37,15411
455,Fantastic Children,TV,26,7.67,17773
456,Gokujou Seitokai,TV,26,7.06,12234
457,Mushishi,TV,26,8.78,300030
458,Buttobi!! CPU,OVA,3,6.44,3968
459,One Piece Movie 1,Movie,1,7.25,46455
460,One Piece Movie 2: Nejimaki-jima no Daibouken,Movie,1,7.33,37792
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,Movie,1,7.18,36558
462,One Piece Movie 4: Dead End no Bouken,Movie,1,7.76,39946
463,One Piece Movie 5: Norowareta Seiken,Movie,1,7.44,35357
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,Movie,1,7.77,37792
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,Movie,1,7.46,33028
466,One Piece: Taose! Kaizoku Ganzack,OVA,1,6.87,17240
467,Ghost in the Shell: Stand Alone Complex,TV,26,8.47,194491
468,Ghost in the Shell 2: Innocence,Movie,1,7.93,85714
469,Karin,TV,24,7.33,106142
470,Okusama wa Joshikousei (TV),TV,13,6.45,14010
471,To Heart 2,TV,13,6.65,13877
472,To Heart,TV,13,6.7,16757
473,Tide-Line Blue,TV,12,6.77,4670
474,Macross Plus,OVA,4,7.82,23138
475,Hotori: Tada Saiwai wo Koinegau,Movie,1,7.14,3701
476,Ginban Kaleidoscope,TV,12,7.48,29837
477,Aria The Animation,TV,13,7.79,76913
478,Sousei no Aquarion,TV,26,7.2,46647
479,The Law of Ueki,TV,51,7.88,60027
481,Yu☆Gi☆Oh! Duel Monsters,TV,224,7.57,132099
482,Yu☆Gi☆Oh!: Duel Monsters GX,TV,180,7.23,74331
483,Kurau Phantom Memory,TV,24,7.46,17463
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Movie,1,7.48,6442
485,Damekko Doubutsu,TV,26,7.43,8024
486,Kino no Tabi: The Beautiful World,TV,13,8.46,102822
487,Girls Bravo: Second Season,TV,13,6.9,57110
488,Ichigo Mashimaro,TV,12,7.77,46333
489,Kamichu!,TV,12,7.51,33053
490,Paniponi Dash!,TV,26,7.57,38532
492,Armitage III: Dual-Matrix,Movie,1,7.01,11524
493,Armitage III: Poly-Matrix,Movie,1,7.18,9186
495,Bakuretsu Hunters,TV,26,6.86,10667
496,Kamui no Ken,Movie,1,6.72,2776
497,Yami to Boushi to Hon no Tabibito,TV,13,6.73,19237
498,Haja Taisei Dangaiou,OVA,3,6.27,2350
499,Makai Toshi Shinjuku,OVA,1,6.36,7293
501,Doraemon,TV,26,7.49,9366
502,Dragon Ball Movie 1: Shen Long no Densetsu,Movie,1,7.05,30279
503,Eien no Aselia,OVA,2,5.67,3132
504,Fatal Fury: The Motion Picture,Movie,1,6.75,7101
505,Fushigiboshi no☆Futagohime,TV,51,7.45,5074
506,Glass no Kamen,TV,23,7.52,4218
507,Gravitation: Lyrics of Love,OVA,2,7.12,22015
508,Tottoko Hamtarou,TV,296,7.03,29433
509,I My Me! Strawberry Eggs,TV,13,6.93,25043
510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,TV,13,5.99,3334
511,Kidou Shinsengumi Moeyo Ken TV,TV,13,6.33,3424
512,Majo no Takkyuubin,Movie,1,8.27,152331
513,Tenkuu no Shiro Laputa,Movie,1,8.38,151061
514,Cossette no Shouzou,OVA,3,7.0,40318
515,Hajimari no Boukensha-tachi: Legend of Crystania,Movie,1,6.15,2893
516,Keroro Gunsou,TV,358,7.93,31632
517,School Rumble Ichi Gakki Hoshuu,OVA,2,7.85,40868
518,Mahou no Princess Minky Momo,TV,63,6.79,2229
519,Mahoraba: Heartful days,TV,26,7.45,16764
520,Marmalade Boy Movie,Movie,1,7.5,5641
521,Mermaid Melody Pichi Pichi Pitch,TV,52,7.11,32296
522,Metropolis,Movie,1,7.62,44030
523,Tonari no Totoro,Movie,1,8.48,271484
524,Onegai☆Twins: Natsu wa Owaranai,OVA,1,7.14,22614
525,Otogizoushi,TV,26,7.1,10591
526,Boku no Chikyuu wo Mamotte,OVA,6,7.29,7254
527,Pokemon,TV,276,7.43,229157
528,Pokemon: Mewtwo no Gyakushuu,Movie,1,7.66,100089
529,Saishuu Heiki Kanojo,TV,13,7.31,58051
530,Bishoujo Senshi Sailor Moon,TV,46,7.71,146521
531,Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,7.78,33682
532,Bishoujo Senshi Sailor Moon S,TV,38,7.89,66911
533,Sensei no Ojikan: Doki Doki School Hours,TV,13,6.81,5137
534,Slayers,TV,26,7.87,73476
535,Slayers Next,TV,26,8.14,39832
536,Slayers: The Motion Picture,Movie,1,7.39,16046
537,Tekken,OVA,2,5.35,9687
538,Shin Tenchi Muyou!,TV,26,6.95,22621
539,Tenchi Muyou! Ryououki,OVA,6,7.77,25902
540,Tenchi Muyou! Ryououki 2nd Season,OVA,6,7.78,15837
541,Tenchi Muyou! Ryououki 3rd Season,OVA,6,7.41,12242
543,Vampire Hunter D (2000),Movie,1,7.95,68229
544,Venus Senki,Movie,1,6.94,5204
545,Mousou Kagaku Series: Wandaba Style,TV,12,6.18,2077
546,Wind: A Breath of Heart (TV),TV,13,6.14,7778
547,Wind: A Breath of Heart OVA,OVA,3,6.35,2043
